subject,category,caption1_condition,caption2_condition,selected_question,selected_question_type
16,dog,spk-neu,evi-pos,Where's your dog?,Other
16,rain,spk-pos,evi-neu,Is it raining?,PPQ
16,beer,spk-neu,evi-neu,Do you like beer?,PPQ
16,bike,spk-neg,evi-neu,Do you know where your bike is?,Other
16,library,spk-neg,evi-pos,Isn't there a library nearby?,HNQ
16,korean,spk-neu,evi-neg,Don't you speak Korean?,HNQ
17,beer,spk-neu,evi-neg,Do you like wine instead,Other
17,korean,spk-neu,evi-pos,Do you speak Korean?,PPQ
17,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
17,rain,spk-pos,evi-neg,Is it raining?,PPQ
17,library,spk-pos,evi-neu,Isn't there a library nearby?,HNQ
17,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
17,dog,spk-neg,evi-neu,Don't you have a dog?,HNQ
18,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
18,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
18,dog,spk-neg,evi-pos,Really? Do you have a dog?,ReallyPQ
18,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
18,rain,spk-neu,evi-neg,Is it not raining?,LNQ
18,train,spk-pos,evi-neg,Is there no train in the early morning?,LNQ
18,beer,spk-neu,evi-pos,Do you like beer?,PPQ
19,library,spk-neg,evi-pos,Is there a library nearby?,PPQ
19,train,spk-neu,evi-pos,Isn't there a train in the early morning?,HNQ
19,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
19,rain,spk-neg,evi-neu,Is it raining?,PPQ
19,korean,spk-pos,evi-neu,Do you speak Korean?,PPQ
19,beer,spk-pos,evi-neg,Do you not like beer?,LNQ
19,dog,spk-neu,evi-neg,Don't you have a dog?,HNQ
20,rain,spk-neu,evi-neg,Isn't it raining?,HNQ
20,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
20,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
20,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
20,bike,spk-neg,evi-pos,Don't you have a bike?,HNQ
20,korean,spk-neu,evi-pos,Don't you speak Korean?,HNQ
20,train,spk-pos,evi-neu,Isn't there a train in the early morning?,HNQ
21,korean,spk-neu,evi-pos,Really? Do you speak Korean?,ReallyPQ
21,rain,spk-neg,evi-pos,Is it raining?,PPQ
21,beer,spk-pos,evi-neu,Do you like beer?,PPQ
21,library,spk-neg,evi-neu,Is there no library nearby?,LNQ
21,train,spk-pos,evi-neg,Isn't there a train in the early morning?,HNQ
21,dog,spk-neu,evi-neg,Don't you have a dog?,HNQ
21,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
22,train,spk-pos,evi-neg,Isn't there a train in the early morning?,HNQ
22,library,spk-neg,evi-neu,what is the address link to the city website?,Other
22,korean,spk-neu,evi-pos,Really? Do you speak Korean?,ReallyPQ
22,beer,spk-neu,evi-neu,Don't you like beer?,HNQ
22,bike,spk-neg,evi-pos,Who's helmet and chains are those?,Other
22,dog,spk-neu,evi-neg,Do you have a dog?,PPQ
22,rain,spk-pos,evi-neu,Isn't it raining?,HNQ
23,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
23,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
23,library,spk-neu,evi-neg,Isn't there a library nearby?,HNQ
23,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
23,beer,spk-neu,evi-neu,Don't you like beer?,HNQ
23,bike,spk-neg,evi-pos,Do you not have a bike?,LNQ
23,train,spk-neg,evi-neu,Really? Is there a train in the early morning?,ReallyPQ
24,train,spk-pos,evi-neg,Isn't there a train in the early morning?,HNQ
24,library,spk-neg,evi-pos,How do I get to the library on Escondido road?,Other
24,dog,spk-neu,evi-pos,I guess you have a dog?,Other
24,beer,spk-neg,evi-neu,What do you like instead of beer?,Other
24,rain,spk-pos,evi-neu,So it hasn't rained yet?,Other
24,korean,spk-neu,evi-neg,Really? You don't speak Korean?,Other
24,bike,spk-neu,evi-neu,Did you find your bike?,Other
25,dog,spk-neu,evi-neg,I thought you had a dog?,Other
25,rain,spk-pos,evi-neu,Really? Is it raining?,ReallyPQ
25,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
25,beer,spk-neu,evi-neu,Do you like beer?,PPQ
25,library,spk-pos,evi-neg,Wasn't there a new one that just opened recently? ,Other
25,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
25,train,spk-neu,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
26,library,spk-neg,evi-pos,Is there a library nearby?,PPQ
26,bike,spk-pos,evi-neg,Don't you have a bike?,HNQ
26,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
26,korean,spk-neu,evi-neg,Do you speak Korean?,PPQ
26,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
26,beer,spk-neu,evi-pos,Do you like beer?,PPQ
26,rain,spk-neg,evi-neu,Is it raining?,PPQ
27,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
27,rain,spk-pos,evi-neg,Is it raining?,PPQ
27,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
27,korean,spk-neu,evi-neg,Are you learning Korean?,Other
27,beer,spk-pos,evi-neu,Don't you like beer?,HNQ
27,train,spk-neu,evi-pos,Are there any other morning trains?,Other
27,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
28,rain,spk-neu,evi-neg,I thought it was supposed to rain today?,Other
28,beer,spk-neu,evi-pos,Really? Do you like beer?,ReallyPQ
28,bike,spk-pos,evi-neu,Don't you have a bike?,HNQ
28,library,spk-pos,evi-neg,Isn't there a library nearby?,HNQ
28,dog,spk-neg,evi-neu,Really? Do you have a dog?,ReallyPQ
28,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
28,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
29,train,spk-pos,evi-neg,Is there no train in the early morning?,LNQ
29,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
29,beer,spk-pos,evi-neu,Do you not want beer?,Other
29,korean,spk-neu,evi-neu,Do you understand Korean?,Other
29,bike,spk-neu,evi-neg,Do you have a bike?,PPQ
29,library,spk-neg,evi-neu,Is there no library nearby?,LNQ
29,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
30,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
30,train,spk-neu,evi-pos,Is there a train in the early morning?,PPQ
30,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
30,rain,spk-neu,evi-neg,Is it raining?,PPQ
30,bike,spk-pos,evi-neg,Really? Do you have a bike?,ReallyPQ
30,dog,spk-pos,evi-neu,Really? Do you have a dog?,ReallyPQ
30,beer,spk-neg,evi-neu,Don't you like beer?,HNQ
31,library,spk-pos,evi-neg,Isn't there a library nearby?,HNQ
31,beer,spk-neu,evi-neu,Do you like beer?,PPQ
31,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
31,bike,spk-neu,evi-neg,Do you have a bike?,PPQ
31,train,spk-neu,evi-pos,Is that six in the morning,Other
31,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
31,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
32,bike,spk-neg,evi-pos,I thought you left the bike behind?,Other
32,library,spk-pos,evi-neu,Is there no library nearby?,LNQ
32,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
32,rain,spk-neu,evi-neg,Is it not raining?,LNQ
32,beer,spk-neu,evi-pos,Do you like beer?,PPQ
32,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
32,dog,spk-neu,evi-neu,Do you have any pets?,Other
33,library,spk-neu,evi-pos,Is there a library nearby?,PPQ
33,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
33,korean,spk-pos,evi-neu,Really? Do you speak Korean?,ReallyPQ
33,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
33,beer,spk-pos,evi-neg,Do you like beer?,PPQ
33,bike,spk-neg,evi-pos,Do you have a bike?,PPQ
33,rain,spk-neu,evi-neg,Is it not raining?,LNQ
34,bike,spk-neu,evi-neu,Don't you have a bike?,HNQ
34,korean,spk-pos,evi-neg,Really? you don't speak korean?,Other
34,train,spk-neu,evi-pos,Is there a train in the early morning?,PPQ
34,rain,spk-neg,evi-pos,Is it raining?,PPQ
34,dog,spk-pos,evi-neu,Do you have a dog?,PPQ
34,library,spk-neu,evi-neg,Is there no library nearby?,LNQ
34,beer,spk-neg,evi-neu,Don't you like beer?,HNQ
35,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
35,bike,spk-neg,evi-neu,Do you not have a bike?,LNQ
35,beer,spk-neu,evi-neu,Do you like beer?,PPQ
35,dog,spk-neu,evi-neg,Do you have a dog?,PPQ
35,rain,spk-pos,evi-neu,Is it not raining?,LNQ
35,korean,spk-pos,evi-neg,Do you not speak Korean?,LNQ
35,library,spk-neu,evi-pos,Is there no library nearby?,LNQ
36,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
36,beer,spk-neg,evi-pos,Do you like beer?,PPQ
36,korean,spk-neu,evi-neg,Really? Do you speak Korean?,ReallyPQ
36,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
36,rain,spk-neu,evi-pos,Is it not raining?,LNQ
36,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
36,bike,spk-pos,evi-neg,Do you have a bike?,PPQ
37,rain,spk-pos,evi-neu,Is it raining?,PPQ
37,korean,spk-pos,evi-neg,Really? Do you speak Korean?,ReallyPQ
37,library,spk-neg,evi-pos,Is there a library nearby?,PPQ
37,dog,spk-neu,evi-neu,Do you have any pets?,Other
37,train,spk-neu,evi-neg,Isn't there a train in the early morning?,HNQ
37,beer,spk-neu,evi-pos,Do you like beer?,PPQ
37,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
38,bike,spk-neu,evi-pos,Do you have a bike?,PPQ
38,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
38,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
38,rain,spk-pos,evi-neu,Is it raining?,PPQ
38,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
38,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
38,korean,spk-neu,evi-neg,Don't you speak Korean?,HNQ
39,korean,spk-neu,evi-pos,Do you speak Korean?,PPQ
39,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
39,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
39,bike,spk-neu,evi-neu,Don't you have a bike?,HNQ
39,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
39,dog,spk-neu,evi-neg,Don't you have a dog?,HNQ
39,library,spk-pos,evi-neu,Is there a library nearby?,PPQ
40,beer,spk-pos,evi-neg,"I know you enjoy cold beers on a hot day, have you developed a taste for wine for other occasions?",Other
40,library,spk-pos,evi-neu,Are you familiar with the new library location I recently heard about?,Other
40,dog,spk-neu,evi-neg,"I know you like animals, so I have to ask, do you have any pets?",Other
40,bike,spk-neg,evi-neu,"Your garage reminds me of mine, a place things disappear in for years! Is your old bike in here?",Other
40,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
40,korean,spk-neu,evi-pos,It sounds like you speak Korean well. How long did it take to learn?,Other
40,rain,spk-neu,evi-neu,"Does it look like storms are on the way, or just possibly some gray skies with light rain?",Other
41,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
41,beer,spk-pos,evi-neu,Don't you like beer?,HNQ
41,rain,spk-neu,evi-neu,Is it raining?,PPQ
41,dog,spk-neu,evi-neg,Do you not have a dog?,LNQ
41,bike,spk-neu,evi-pos,Don't you have a bike?,HNQ
41,library,spk-pos,evi-neg,Is there a library nearby?,PPQ
41,train,spk-neg,evi-pos,Is there a train in the early morning?,PPQ
42,bike,spk-neu,evi-neg,Don't you have a bike?,HNQ
42,library,spk-neg,evi-neu,Isn't there a library nearby?,HNQ
42,train,spk-neu,evi-neu,Really? Is there a train in the early morning?,ReallyPQ
42,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
42,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
42,beer,spk-neg,evi-pos,Do you like beer?,PPQ
42,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
43,bike,spk-neg,evi-pos,Did you get a bike?,Other
43,korean,spk-neg,evi-neu,Don't you speak Korean?,HNQ
43,train,spk-pos,evi-neg,Isn't there an early morning train?,Other
43,rain,spk-neu,evi-neg,So it's not raining?,Other
43,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
43,library,spk-pos,evi-neu,Is there a library nearby?,PPQ
43,beer,spk-neu,evi-pos,Do you like beer?,PPQ
44,beer,spk-neu,evi-neg,Do you like beer?,PPQ
44,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
44,dog,spk-neg,evi-neu,Have you thought anymore about getting a dog?,Other
44,library,spk-neu,evi-neu,No one at city hall knows if the city has a library?,Other
44,bike,spk-neg,evi-pos,Have you taken up biking again?,Other
44,korean,spk-pos,evi-neg,Do you not remember much Korean from your childhood?,Other
44,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
45,rain,spk-neg,evi-pos,Does it seem to be getting worse?,Other
45,dog,spk-pos,evi-neu,Where's Max? ,Other
45,train,spk-neu,evi-neg,Isn't there a train in the early morning?,HNQ
45,library,spk-neu,evi-pos,Is Escondido Road nearby?,Other
45,beer,spk-pos,evi-neg,You don't feel like beer today? ,Other
45,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
45,bike,spk-neu,evi-neu,Would you like me to help you look?,Other
46,rain,spk-neg,evi-pos,Is it raining?,PPQ
46,beer,spk-pos,evi-neg,Do you like beer?,PPQ
46,train,spk-pos,evi-neu,Isn't there a train in the early morning?,HNQ
46,dog,spk-neg,evi-neu,Do you not have a dog?,LNQ
46,bike,spk-neu,evi-neg,Don't you have a bike?,HNQ
46,library,spk-neu,evi-neu,Isn't there a library nearby?,HNQ
46,korean,spk-neu,evi-pos,Do you speak Korean?,PPQ
47,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
47,beer,spk-neu,evi-neu,Do you like beer?,PPQ
47,bike,spk-neg,evi-pos,Have you started riding your bike again?,Other
47,train,spk-neu,evi-neg,Is there no train in the early morning?,LNQ
47,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
47,library,spk-neg,evi-neu,Do you know if there is a library near here?,Other
47,dog,spk-pos,evi-neg,"You have a dog named Max, don't you?",Other
48,bike,spk-neu,evi-pos,Don't you have a bike?,HNQ
48,train,spk-neg,evi-neu,Is there a train in the early morning?,PPQ
48,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
48,library,spk-neg,evi-pos,Is there a library nearby?,PPQ
48,korean,spk-neu,evi-neg,did you end up actually learning a language?,Other
48,beer,spk-pos,evi-neu,will you have anything to drink?,Other
48,rain,spk-neu,evi-neu,Is it raining?,PPQ
49,beer,spk-neu,evi-neg,Do you like beer?,PPQ
49,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
49,rain,spk-pos,evi-neg,Really? Is it raining?,ReallyPQ
49,train,spk-neu,evi-pos,Is there a train in the early morning?,PPQ
49,korean,spk-neg,evi-pos,Really? Do you speak Korean?,ReallyPQ
49,library,spk-pos,evi-neu,Is there a library nearby?,PPQ
49,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
50,rain,spk-neg,evi-pos,Is it raining?,PPQ
50,beer,spk-neu,evi-neu,Do you like beer?,PPQ
50,korean,spk-neg,evi-neu,Do you speak Korean?,PPQ
50,train,spk-pos,evi-neu,Really? Is there a train in the early morning?,ReallyPQ
50,bike,spk-neu,evi-neg,Do you have a bike?,PPQ
50,library,spk-pos,evi-neg,Isn't there a library nearby?,HNQ
50,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
51,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
51,library,spk-neu,evi-neg,Is there a library nearby?,PPQ
51,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
51,dog,spk-neu,evi-pos,Do you have a dog?,PPQ
51,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
51,beer,spk-neu,evi-neu,Don't you like beer?,HNQ
51,rain,spk-pos,evi-neg,Isn't it raining?,HNQ
52,bike,spk-neu,evi-neu,Really? Do you have a bike?,ReallyPQ
52,beer,spk-neu,evi-pos,Do you like beer?,PPQ
52,library,spk-neg,evi-neu,Isn't there a library nearby?,HNQ
52,train,spk-pos,evi-neg,Is there a train in the early morning?,PPQ
52,korean,spk-pos,evi-neu,Don't you speak Korean?,HNQ
52,rain,spk-neg,evi-pos,Really? Is it raining?,ReallyPQ
52,dog,spk-neu,evi-neg,Don't you have a dog?,HNQ
53,dog,spk-neu,evi-neg,Do you have a dog?,PPQ
53,train,spk-neu,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
53,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
53,rain,spk-pos,evi-neu,Isn't it raining?,HNQ
53,bike,spk-neg,evi-neu,Don't you have a bike?,HNQ
53,korean,spk-neg,evi-pos,Didn't you say you were bad at Korean?,Other
53,library,spk-neu,evi-neu,Is there no library nearby?,LNQ
54,library,spk-neu,evi-pos,Is there a library nearby?,PPQ
54,bike,spk-neu,evi-neg,Don't you have a bike?,HNQ
54,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
54,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
54,rain,spk-neg,evi-pos,Is it raining?,PPQ
54,train,spk-neu,evi-neu,Is there a train in the early morning?,PPQ
54,beer,spk-neg,evi-neu,Do you like beer?,PPQ
55,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
55,korean,spk-neg,evi-pos,Do you speak Korean?,PPQ
55,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
55,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
55,library,spk-neg,evi-neu,Is there a library nearby?,PPQ
55,train,spk-neu,evi-neg,Isn't there a train in the early morning?,HNQ
55,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
56,korean,spk-neu,evi-neg,"Oh, you don't speak Korean?",Other
56,dog,spk-neg,evi-pos,Do you not have a dog?,LNQ
56,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
56,bike,spk-neu,evi-neu,Do you have a bike?,PPQ
56,library,spk-neu,evi-pos,Is that library nearby?,Other
56,rain,spk-neg,evi-neu,But it's not raining?,Other
56,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
57,train,spk-pos,evi-neu,Is there a train in the early morning?,PPQ
57,dog,spk-neg,evi-pos,Do you have a dog?,PPQ
57,beer,spk-pos,evi-neg,Do you not like beer?,LNQ
57,korean,spk-neu,evi-neu,Do you not speak Korean?,LNQ
57,rain,spk-neu,evi-pos,Really? Is it raining?,ReallyPQ
57,library,spk-neu,evi-neg,Is there a library nearby?,PPQ
57,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
58,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
58,dog,spk-neu,evi-neu,Don't you have a dog?,HNQ
58,rain,spk-neu,evi-neg,Is it raining?,PPQ
58,beer,spk-neu,evi-pos,Do you like beer?,PPQ
58,bike,spk-pos,evi-neu,Really? Do you have a bike?,ReallyPQ
58,library,spk-neg,evi-neu,Is there no library nearby?,LNQ
58,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
59,beer,spk-neu,evi-pos,Don't you like beer?,HNQ
59,library,spk-neg,evi-pos,Isn't there a library nearby?,HNQ
59,dog,spk-neu,evi-neu,Do you have a dog?,PPQ
59,rain,spk-neg,evi-neu,Isn't it raining?,HNQ
59,train,spk-neu,evi-neg,Is there a train in the early morning?,PPQ
59,bike,spk-pos,evi-neu,Do you have a bike?,PPQ
59,korean,spk-pos,evi-neg,Don't you speak Korean?,HNQ
60,rain,spk-pos,evi-neu,Is it raining?,PPQ
60,library,spk-neu,evi-neu,Is there a library nearby?,PPQ
60,train,spk-neg,evi-pos,Really? Is there a train in the early morning?,ReallyPQ
60,bike,spk-neg,evi-neu,Do you have a bike?,PPQ
60,beer,spk-neu,evi-pos,Do you like beer?,PPQ
60,korean,spk-neu,evi-neg,Do you speak Korean?,PPQ
60,dog,spk-pos,evi-neg,Don't you have a dog?,HNQ
61,korean,spk-neu,evi-pos,Do you speak Korean?,PPQ
61,bike,spk-neu,evi-neu,Don't you have a bike?,HNQ
61,train,spk-neu,evi-neg,Is there no train in the early morning?,LNQ
61,beer,spk-pos,evi-neg,Don't you like beer?,HNQ
61,rain,spk-neg,evi-neu,Really? Is it raining?,ReallyPQ
61,library,spk-neg,evi-pos,Really? Is there a library nearby?,ReallyPQ
61,dog,spk-pos,evi-neu,Don't you have a dog?,HNQ
62,dog,spk-neu,evi-neg,Nice place. Is it pricey?,Other
62,bike,spk-pos,evi-neg,Bike in the shop?,Other
